config,phase,elapsed_s,sim_frame,speed_cmd_mps,speed_mps,throttle,brake,gear,speed_error_mps,speed_error_integral,throttle_ff
A_RESET_CURRENT,pre,0.68,2515630,0.7,7.188597660825825e-05,1.0,0.0,0,0.6999079287106199,0.474610165818398,0.633
A_RESET_CURRENT,pre,0.7000000000000001,2515631,0.7,5.5636499514612494e-05,1.0,0.0,0,0.6999281140233917,0.4886087280988658,0.633
A_RESET_CURRENT,pre,0.72,2515632,0.7,4.264337525905352e-05,1.0,0.0,0,0.6999443635004854,0.5026076153688755,0.633
A_RESET_CURRENT,pre,0.74,2515633,0.7,3.2391904430805485e-05,1.0,0.0,0,0.6999573566247409,0.5166067625013704,0.633
A_RESET_CURRENT,pre,0.76,2515634,0.7,2.4405311790318018e-05,1.0,0.0,0,0.6999676080955691,0.5306061146632818,0.633
A_RESET_CURRENT,pre,0.78,2515635,0.7,1.832520593156819e-05,1.0,0.0,0,0.6999755946882097,0.544605626557046,0.633
A_RESET_CURRENT,pre,0.8,2515636,0.7,1.386455898663868e-05,1.0,0.0,0,0.6999816747940684,0.5586052600529274,0.633
A_RESET_CURRENT,pre,0.8200000000000001,2515637,0.7,1.0707881605360012e-05,1.0,0.0,0,0.6999861354410133,0.5726049827617476,0.633
A_RESET_CURRENT,pre,0.84,2515638,0.7,8.648796700463393e-06,1.0,0.0,0,0.6999892921183946,0.5866047686041156,0.633
A_RESET_CURRENT,pre,0.86,2515639,0.7,7.3886727780105416e-06,1.0,0.0,0,0.6999913512032995,0.6,0.633
A_RESET_CURRENT,pre,0.88,2515640,0.7,6.640818772574888e-06,1.0,0.0,0,0.6999926113272219,0.6,0.633
A_RESET_CURRENT,pre,0.9,2515641,0.7,6.202418784294622e-06,1.0,0.0,0,0.6999933591812274,0.6,0.633
A_RESET_CURRENT,pre,0.92,2515642,0.7,0.0,1.0,0.0,0,0.6999937975812157,0.6,0.633
A_RESET_CURRENT,pre,0.9400000000000001,2515643,0.7,2.4047880384400944e-06,1.0,0.0,0,0.7,0.6,0.633
A_RESET_CURRENT,pre,0.96,2515644,0.7,2.9783583926509783e-06,1.0,0.0,0,0.6999975952119615,0.6,0.633
A_RESET_CURRENT,pre,0.98,2515645,0.7,3.224433393524613e-06,1.0,0.0,0,0.6999970216416073,0.6,0.633
A_RESET_CURRENT,pre,1.0,2515646,0.7,3.205771260331307e-06,1.0,0.0,0,0.6999967755666064,0.6,0.633
A_RESET_CURRENT,pre,1.02,2515647,0.7,0.02441676709385187,1.0,0.0,0,0.6999967942287396,0.6,0.633
A_RESET_CURRENT,pre,1.04,2515648,0.7,0.0730955246860571,1.0,0.0,1,0.6755832329061481,0.6,0.633
A_RESET_CURRENT,pre,1.06,2515649,0.7,0.11934708485153762,1.0,0.0,1,0.6269044753139429,0.6,0.633
A_RESET_CURRENT,pre,1.08,2515650,0.7,0.1620844743006149,1.0,0.0,1,0.5806529151484623,0.6,0.633
A_RESET_CURRENT,pre,1.1,2515651,0.7,0.20099957263776283,1.0,0.0,1,0.537915525699385,0.6,0.633
A_RESET_CURRENT,pre,1.12,2515652,0.7,0.23615050631052764,1.0,0.0,1,0.49900042736223715,0.6,0.633
A_RESET_CURRENT,pre,1.1400000000000001,2515653,0.7,0.2678518089029834,1.0,0.0,1,0.4638494936894723,0.6,0.633
A_RESET_CURRENT,pre,1.16,2515654,0.7,0.29645059398754203,1.0,0.0,1,0.4321481910970166,0.6,0.633
A_RESET_CURRENT,pre,1.18,2515655,0.7,0.3222284101808801,1.0,0.0,1,0.4035494060124579,0.6,0.633
A_RESET_CURRENT,pre,1.2,2515656,0.7,0.34549181626024633,1.0,0.0,1,0.37777158981911985,0.6,0.633
A_RESET_CURRENT,pre,1.22,2515657,0.7,0.3665465365069859,1.0,0.0,1,0.3545081837397536,0.6,0.633
A_RESET_CURRENT,pre,1.24,2515658,0.7,0.3856797461879059,1.0,0.0,1,0.3334534634930141,0.6,0.633
A_RESET_CURRENT,pre,1.26,2515659,0.7,0.4031517984315012,1.0,0.0,1,0.31432025381209405,0.6,0.633
A_RESET_CURRENT,pre,1.28,2515660,0.7,0.4191945076222662,1.0,0.0,1,0.2968482015684988,0.6,0.633
A_RESET_CURRENT,pre,1.3,2515661,0.7,0.43401122094214883,1.0,0.0,1,0.2808054923777338,0.6,0.633
A_RESET_CURRENT,pre,1.32,2515662,0.7,0.4477673054813406,0.9910904765129089,0.0,1,0.2659887790578511,0.6,0.633
A_RESET_CURRENT,pre,1.34,2515663,0.7,0.4605864527603907,0.9793977737426758,0.0,1,0.2522326945186594,0.6,0.633
A_RESET_CURRENT,pre,1.36,2515664,0.7,0.47257127809992366,0.9685015082359314,0.0,1,0.23941354723960928,0.6,0.633
A_RESET_CURRENT,pre,1.3800000000000001,2515665,0.7,0.48381214211434764,0.9583144187927246,0.0,1,0.2274287219000763,0.6,0.633
A_RESET_CURRENT,pre,1.4000000000000001,2515666,0.7,0.49438824743559157,0.9487596750259399,0.0,1,0.2161878578856523,0.6,0.633
A_RESET_CURRENT,pre,1.42,2515667,0.7,0.5043689261717933,0.939769983291626,0.0,1,0.2056117525644084,0.6,0.633
A_RESET_CURRENT,pre,1.44,2515668,0.7,0.5139678013793864,0.9312863945960999,0.0,1,0.19563107382820666,0.6,0.633
A_RESET_CURRENT,pre,1.46,2515669,0.7,0.5230068220678434,0.9231273531913757,0.0,1,0.1860321986206136,0.6,0.633
A_RESET_CURRENT,pre,1.48,2515670,0.7,0.5316037669771454,0.9154441952705383,0.0,1,0.17699317793215652,0.6,0.633
A_RESET_CURRENT,pre,1.5,2515671,0.7,0.5389976039997433,0.908136785030365,0.0,1,0.16839623302285456,0.6,0.633
A_RESET_CURRENT,pre,1.52,2515672,0.7,0.5421443954793825,0.901852011680603,0.0,1,0.16100239600025668,0.6,0.633
A_RESET_CURRENT,pre,1.54,2515673,0.7,0.5416110054824272,0.8991772532463074,0.0,1,0.15785560452061742,0.6,0.633
A_RESET_CURRENT,pre,1.56,2515674,0.7,0.541594602367496,0.8996306657791138,0.0,1,0.1583889945175727,0.6,0.633
A_RESET_CURRENT,pre,1.58,2515675,0.7,0.5419878023691588,0.8996446132659912,0.0,1,0.15840539763250394,0.6,0.633
A_RESET_CURRENT,pre,1.6,2515676,0.7,0.5428034800479755,0.8993103504180908,0.0,1,0.15801219763084118,0.6,0.633
A_RESET_CURRENT,pre,1.62,2515677,0.7,0.5440306204451163,0.8986170291900635,0.0,1,0.15719651995202444,0.6,0.633
A_RESET_CURRENT,pre,1.6400000000000001,2515678,0.7,0.5456528680444444,0.8975739479064941,0.0,1,0.15596937955488366,0.6,0.633
A_RESET_CURRENT,pre,1.6600000000000001,2515679,0.7,0.5476506248499539,0.8961950540542603,0.0,1,0.1543471319555556,0.6,0.633
A_RESET_CURRENT,pre,1.68,2515680,0.7,0.5500027193148862,0.8944969773292542,0.0,1,0.1523493751500461,0.6,0.633
A_RESET_CURRENT,pre,1.7,2515681,0.7,0.5526866924255955,0.892497718334198,0.0,1,0.14999728068511375,0.6,0.633
A_RESET_CURRENT,pre,1.72,2515682,0.7,0.5556790838114589,0.8902162909507751,0.0,1,0.14731330757440442,0.6,0.633
A_RESET_CURRENT,pre,1.74,2515683,0.7,0.5589558132067494,0.8876727819442749,0.0,1,0.14432091618854104,0.6,0.633
A_RESET_CURRENT,pre,1.76,2515684,0.7,0.5624924665571058,0.8848875761032104,0.0,1,0.1410441867932506,0.6,0.633
A_RESET_CURRENT,pre,1.78,2515685,0.7,0.5662645821204095,0.8818814158439636,0.0,1,0.13750753344289413,0.6,0.633
A_RESET_CURRENT,pre,1.8,2515686,0.7,0.5702471736308016,0.878675103187561,0.0,1,0.13373541787959042,0.6,0.633
A_RESET_CURRENT,pre,1.82,2515687,0.7,0.5744158747082428,0.8752899169921875,0.0,1,0.12975282636919838,0.6,0.633
A_RESET_CURRENT,pre,1.84,2515688,0.7,0.5787464620222335,0.8717464804649353,0.0,1,0.1255841252917571,0.6,0.633
A_RESET_CURRENT,pre,1.86,2515689,0.7,0.5832154274982716,0.8680655360221863,0.0,1,0.1212535379777665,0.6,0.633
A_RESET_CURRENT,pre,1.8800000000000001,2515690,0.7,0.5878000736838163,0.8642668724060059,0.0,1,0.11678457250172836,0.6,0.633
A_RESET_CURRENT,pre,1.9000000000000001,2515691,0.7,0.5924785137508486,0.8603699207305908,0.0,1,0.1121999263161837,0.6,0.633
A_RESET_CURRENT,pre,1.92,2515692,0.7,0.5972296714942507,0.8563932776451111,0.0,1,0.10752148624915137,0.6,0.633
A_RESET_CURRENT,pre,1.94,2515693,0.7,0.6020338058530471,0.8523547649383545,0.0,1,0.1027703285057493,0.6,0.633
A_RESET_CURRENT,pre,1.96,2515694,0.7,0.6068725585948938,0.8482712507247925,0.0,1,0.09796619414695285,0.6,0.633
A_RESET_CURRENT,pre,1.98,2515695,0.7,0.6117280960083098,0.8441583514213562,0.0,1,0.0931274414051062,0.6,0.633
A_RESET_CURRENT,pre,2.0,2515696,0.7,0.6165841579449669,0.8400311470031738,0.0,1,0.08827190399169016,0.6,0.633
A_RESET_CURRENT,pre,2.02,2515697,0.7,0.6214262962380201,0.8359034657478333,0.0,1,0.08341584205503305,0.6,0.633
A_RESET_CURRENT,pre,2.04,2515698,0.7,0.6262403488230569,0.831787645816803,0.0,1,0.07857370376197981,0.6,0.633
A_RESET_CURRENT,pre,2.06,2515699,0.7,0.6310141086685317,0.8276957273483276,0.0,1,0.07375965117694305,0.6,0.633
A_RESET_CURRENT,pre,2.08,2515700,0.7,0.6357361793660095,0.8236380219459534,0.0,1,0.06898589133146826,0.6,0.633
A_RESET_CURRENT,pre,2.1,2515701,0.7,0.6403964042838959,0.8196242451667786,0.0,1,0.0642638206339905,0.6,0.633
A_RESET_CURRENT,pre,2.12,2515702,0.7,0.6449859619344517,0.8156630396842957,0.0,1,0.059603595716104074,0.6,0.633
A_RESET_CURRENT,pre,2.14,2515703,0.7,0.6494967937698123,0.8117619156837463,0.0,1,0.055014038065548276,0.6,0.633
