kp_brake,phase,elapsed_s,sim_frame,speed_cmd_mps,speed_mps,throttle,brake,gear,manual_gear_shift,speed_error_mps
0.8,pre,2.12,2434851,0.7,0.6449859619344517,0.8156630396842957,0.0,1,0,0.059603595716104074
0.8,pre,2.14,2434852,0.7,0.6494967937698123,0.8117619156837463,0.0,1,0,0.055014038065548276
0.8,pre,2.16,2434853,0.7,0.653922081018651,0.8079277276992798,0.0,1,0,0.05050320623018767
0.8,pre,2.18,2434854,0.7,0.6582559109000794,0.8041662573814392,0.0,1,0,0.04607791898134894
0.8,pre,2.2,2434855,0.7,0.6624930858893389,0.800482451915741,0.0,1,0,0.041744089099920556
0.8,pre,2.22,2434856,0.7,0.6666294575030547,0.7968809008598328,0.0,1,0,0.037506914110661094
0.8,pre,2.24,2434857,0.7,0.6706614017789981,0.793364942073822,0.0,1,0,0.033370542496945266
0.8,pre,2.2600000000000002,2434858,0.7,0.6745863437963755,0.7899377942085266,0.0,1,0,0.02933859822100182
0.8,pre,2.2800000000000002,2434859,0.7,0.6784019470533049,0.7866016030311584,0.0,1,0,0.025413656203624457
0.8,pre,2.3000000000000003,2434860,0.7,0.6821067810383403,0.7833583354949951,0.0,1,0,0.021598052946695034
0.8,pre,2.32,2434861,0.7,0.6856997967098035,0.7802092432975769,0.0,1,0,0.01789321896165963
0.8,pre,2.34,2434862,0.7,0.6891803264955834,0.7771551609039307,0.0,1,0,0.014300203290196434
0.8,pre,2.36,2434863,0.7,0.6925484657633401,0.7741967439651489,0.0,1,0,0.010819673504416594
0.8,pre,2.38,2434864,0.7,0.6958044052477552,0.7713338136672974,0.0,1,0,0.007451534236659896
0.8,pre,2.4,2434865,0.7,0.6989489555723155,0.7685662508010864,0.0,1,0,0.004195594752244736
0.8,pre,2.42,2434866,0.7,0.7019828796762616,0.7658933997154236,0.0,1,0,0.0010510444276844444
0.8,pre,2.44,2434867,0.7,0.7049075603871733,0.7633058428764343,0.0,1,0,-0.0019828796762616507
0.8,pre,2.46,2434868,0.7,0.7077244759007708,0.7607982754707336,0.0,1,0,-0.004907560387173326
0.8,pre,2.48,2434869,0.7,0.7104350567282599,0.7583698630332947,0.0,1,0,-0.007724475900770855
0.8,pre,2.5,2434870,0.7,0.7130411148507214,0.7560200095176697,0.0,1,0,-0.01043505672825995
0.8,decel,0.02,2434871,0.5,0.7154067993617963,0.0,0.1704328954219818,1,0,-0.2130411148507214
